,aircraftRegistration,Luchthaven,Stad,Land,flightName
391,PHBCH,Brandenburg,Berlijn,Duitsland,KL1771
392,PHBCH,Brandenburg,Berlijn,Duitsland,CZ7670
393,PHBCH,Brandenburg,Berlijn,Duitsland,DL9350
394,PHBCH,Brandenburg,Berlijn,Duitsland,GA9766
395,PHBCH,Brandenburg,Berlijn,Duitsland,KE6427
396,PHBCH,Brandenburg,Berlijn,Duitsland,MF9329
397,PHBCH,Brandenburg,Berlijn,Duitsland,MU1599
398,GLCAB,London City Airport,Londen,Verenigd Koninkrijk,BA8450
399,PHEZH,London City Airport,Londen,Verenigd Koninkrijk,KL0979
400,PHEZH,London City Airport,Londen,Verenigd Koninkrijk,DL9344
401,PHEZH,London City Airport,Londen,Verenigd Koninkrijk,VS7042
448,IADJR,Münich International,München,Duitsland,EN8380
584,PHBXL,Linate,Milaan,Italië,KQ1618
585,PHBXL,Linate,Milaan,Italië,MF9673
586,PHBXL,Linate,Milaan,Italië,KL1612
587,PHBXL,Linate,Milaan,Italië,DL9588
611,PHEXY,Cote d'Azur,Nice,Frankrijk,KQ1254
612,PHEXY,Cote d'Azur,Nice,Frankrijk,MF9693
613,PHEXY,Cote d'Azur,Nice,Frankrijk,MU1566
614,PHEXY,Cote d'Azur,Nice,Frankrijk,DL9639
615,PHEXY,Cote d'Azur,Nice,Frankrijk,GA9527
616,PHEXY,Cote d'Azur,Nice,Frankrijk,G35598
617,PHEXY,Cote d'Azur,Nice,Frankrijk,KL1472
618,PHEXY,Cote d'Azur,Nice,Frankrijk,AF3175
619,FHZUN,Charles de Gaulle,Parijs,Frankrijk,AF1240
620,FHZUN,Charles de Gaulle,Parijs,Frankrijk,AM5827
621,FHZUN,Charles de Gaulle,Parijs,Frankrijk,CI9290
622,FHZUN,Charles de Gaulle,Parijs,Frankrijk,DL8400
623,FHZUN,Charles de Gaulle,Parijs,Frankrijk,GA9557
624,FHZUN,Charles de Gaulle,Parijs,Frankrijk,G35024
625,FHZUN,Charles de Gaulle,Parijs,Frankrijk,KL2002
626,FHZUN,Charles de Gaulle,Parijs,Frankrijk,MK9390
627,FHZUN,Charles de Gaulle,Parijs,Frankrijk,UU8240
635,PHBGH,Heathrow,Londen,Verenigd Koninkrijk,KL1003
636,PHBGH,Heathrow,Londen,Verenigd Koninkrijk,CZ7602
637,PHBGH,Heathrow,Londen,Verenigd Koninkrijk,DL9232
638,PHBGH,Heathrow,Londen,Verenigd Koninkrijk,GA9370
639,PHBGH,Heathrow,Londen,Verenigd Koninkrijk,VS7059
640,PHBGH,Heathrow,Londen,Verenigd Koninkrijk,WS5201
669,OEIDS,Brandenburg,Berlijn,Duitsland,EJU5281
698,PHBGF,Provence,Marseille,Frankrijk,DL9168
699,PHBGF,Provence,Marseille,Frankrijk,SK6759
700,PHBGF,Provence,Marseille,Frankrijk,KL1464
701,PHBGF,Provence,Marseille,Frankrijk,AF3180
712,PHNXK,Marco Polo,Venetië,Italië,DL9265
713,PHNXK,Marco Polo,Venetië,Italië,GA9487
714,PHNXK,Marco Polo,Venetië,Italië,G35573
715,PHNXK,Marco Polo,Venetië,Italië,KQ1650
716,PHNXK,Marco Polo,Venetië,Italië,MF9767
717,PHNXK,Marco Polo,Venetië,Italië,KL1628
718,PHNXK,Marco Polo,Venetië,Italië,AM6459
719,PHNXK,Marco Polo,Venetië,Italië,MU1826
720,PHEZE,London City Airport,Londen,Verenigd Koninkrijk,KL0981
721,PHEZE,London City Airport,Londen,Verenigd Koninkrijk,DL9285
722,PHEZE,London City Airport,Londen,Verenigd Koninkrijk,VS7034
723,OELQS,Linate,Milaan,Italië,EJU7830
728,PHEZD,Zurich Airport,Zurich,Zwitserland,KL1916
729,PHEZD,Zurich Airport,Zurich,Zwitserland,AM6446
730,PHEZD,Zurich Airport,Zurich,Zwitserland,CZ1350
731,PHEZD,Zurich Airport,Zurich,Zwitserland,DL9279
732,PHEZD,Zurich Airport,Zurich,Zwitserland,G35579
733,PHEZD,Zurich Airport,Zurich,Zwitserland,KQ1952
734,PHEZD,Zurich Airport,Zurich,Zwitserland,MF9723
735,PHEZD,Zurich Airport,Zurich,Zwitserland,SK6627
736,PHBGQ,Münich International,München,Duitsland,DL9632
737,PHBGQ,Münich International,München,Duitsland,GA9289
738,PHBGQ,Münich International,München,Duitsland,MF9681
739,PHBGQ,Münich International,München,Duitsland,SK6673
740,PHBGQ,Münich International,München,Duitsland,KL1848
741,PHBGQ,Münich International,München,Duitsland,AM6548
742,PHBGQ,Münich International,München,Duitsland,CZ1343
743,GEZOA,Luton,Londen,Verenigd Koninkrijk,EZY2511
777,IADJR,Münich International,München,Duitsland,EN8381
778,PHBGI,Linate,Milaan,Italië,KL1613
779,PHBGI,Linate,Milaan,Italië,DL9622
780,PHBGI,Linate,Milaan,Italië,MF9674
781,FHZUM,Charles de Gaulle,Parijs,Frankrijk,MU1884
782,FHZUM,Charles de Gaulle,Parijs,Frankrijk,AF1437
783,FHZUM,Charles de Gaulle,Parijs,Frankrijk,AM6189
784,FHZUM,Charles de Gaulle,Parijs,Frankrijk,DL8727
785,FHZUM,Charles de Gaulle,Parijs,Frankrijk,KL2252
793,PHBXW,Schwechat Intl,Wenen,Oostenrijk,CI8570
794,PHBXW,Schwechat Intl,Wenen,Oostenrijk,CZ7691
