,Unnamed: 0,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,cumsum_ClimbRate,alt_norm
1177,19068,Mon 08:23:00 AM,49.831,2.7977,↗ 28°,397.0,457.0,"23,575",1825.0,FlightAware ADS-B (RHE / LFSR),Arrivals,HOP1740,2025-03-24 14:11:45,56124.0,0.6571122124417487
1178,19069,Mon 08:23:30 AM,49.882,2.8393,↗ 28°,401.0,461.0,"24,450",1650.0,FlightAware ADS-B (LFQD),Arrivals,HOP1740,2025-03-24 14:11:45,57774.0,0.6723685183815371
1179,19070,Mon 08:24:00 AM,49.9301,2.8783,↗ 28°,404.0,465.0,"25,225",1425.0,FlightAware ADS-B (EHMZ),Arrivals,HOP1740,2025-03-24 14:11:45,59199.0,0.6855444189658998
1180,19071,Mon 08:24:30 AM,49.9797,2.9189,↗ 28°,409.0,471.0,"25,875",775.0,FlightAware ADS-B (LFOW),Arrivals,HOP1740,2025-03-24 14:11:45,59974.0,0.6927102596345883
1181,19072,Mon 08:25:00 AM,50.0323,2.9619,↗ 28°,417.0,480.0,"26,000",125.0,FlightAware ADS-B (EBFN),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1182,19073,Mon 08:25:30 AM,50.0825,3.0031,↗ 28°,415.0,478.0,"26,000",0.0,FlightAware ADS-B (KJK / EBKT),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1183,19074,Mon 08:26:00 AM,50.1342,3.0456,↗ 28°,415.0,478.0,"26,000",0.0,FlightAware ADS-B (LYX / EGMD),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1184,19075,Mon 08:26:30 AM,50.1834,3.0861,↗ 28°,416.0,479.0,"26,000",0.0,FlightAware ADS-B (UTC / EHSB),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1185,19076,Mon 08:26:58 AM,50.2345,3.1242,↗ 22°,417.0,480.0,"26,000",0.0,FlightAware ADS-B (LFOR),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1186,19077,Mon 08:27:18 AM,50.2689,3.144,↑ 19°,418.0,481.0,"26,000",0.0,FlightAware ADS-B (EBSH),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1187,19078,Mon 08:27:48 AM,50.3227,3.1719,↑ 18°,417.0,480.0,"26,000",0.0,FlightAware ADS-B (EBFN),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1188,19079,Mon 08:28:18 AM,50.3796,3.2016,↑ 18°,417.0,480.0,"26,000",0.0,FlightAware ADS-B (LIL / LFQQ),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
