,lastUpdatedAt,actualLandingTime,aircraftRegistration,estimatedLandingTime,expectedTimeOnBelt,flightDirection,flightName,flightNumber,gate,pier,id,isOperationalFlight,mainFlight,prefixIATA,prefixICAO,airlineCode,scheduleDateTime,scheduleDate,scheduleTime,serviceType,terminal,schemaVersion,aircraftType.iataMain,aircraftType.iataSub,baggageClaim.belts,codeshares.codeshares,publicFlightState.flightStates,route.destinations,route.eu,route.visa,actualOffBlockTime,expectedSecurityFilter,checkinAllocations.checkinAllocations,publicEstimatedOffBlockTime,expectedTimeBoarding,expectedTimeGateClosing,expectedTimeGateOpen,transferPositions.transferPositions,Luchthaven,Stad,Land,Continent,TypeVliegtuig,ModelVliegtuig
123,2025-02-11T11:39:26.739+01:00,,,,,D,KL9935,9935,,,141995495978505133,False,KL9935,KL,,,2025-03-25T07:00:00.000+01:00,2025-03-25,07:00:00,P,,4,EMJ,E90,,,['SCH'],BRU,S,False,,,,,,,,,Brussels,Brussel,België,Europa,EMJ-E90,Embraer-E90
181,2025-03-25T09:32:39.332+01:00,2025-03-25T06:50:08.000+01:00,PHEXI,2025-03-25T06:49:11.000+01:00,2025-03-25T07:35:40.476+01:00,A,KQ1720,1720,B16,B,141995495996430734,True,KL1700,KQ,KQA,208.0,2025-03-25T07:10:00.000+01:00,2025-03-25,07:10:00,J,2.0,4,EMJ,E7W,['13'],"['AM6373', 'DL9524', 'KQ1720', 'MF9352']","['ARR', 'EXP']",BRU,S,False,,,,,,,,,Brussels,Brussel,België,Europa,EMJ-E7W,Embraer-175
182,2025-03-25T09:32:39.332+01:00,2025-03-25T06:50:08.000+01:00,PHEXI,2025-03-25T06:49:11.000+01:00,2025-03-25T07:35:40.476+01:00,A,MF9352,9352,B16,B,141995496233374742,True,KL1700,MF,CXA,1551.0,2025-03-25T07:10:00.000+01:00,2025-03-25,07:10:00,J,2.0,4,EMJ,E7W,['13'],"['AM6373', 'DL9524', 'KQ1720', 'MF9352']","['ARR', 'EXP']",BRU,S,False,,,,,,,,,Brussels,Brussel,België,Europa,EMJ-E7W,Embraer-175
183,2025-03-25T09:32:39.332+01:00,2025-03-25T06:50:08.000+01:00,PHEXI,2025-03-25T06:49:11.000+01:00,2025-03-25T07:35:40.476+01:00,A,KL1700,1700,B16,B,141995495977688976,True,KL1700,KL,KLM,100.0,2025-03-25T07:10:00.000+01:00,2025-03-25,07:10:00,J,2.0,4,EMJ,E7W,['13'],"['AM6373', 'DL9524', 'KQ1720', 'MF9352']","['ARR', 'EXP']",BRU,S,False,,,,,,,,,Brussels,Brussel,België,Europa,EMJ-E7W,Embraer-175
184,2025-03-25T09:32:39.332+01:00,2025-03-25T06:50:08.000+01:00,PHEXI,2025-03-25T06:49:11.000+01:00,2025-03-25T07:35:40.476+01:00,A,AM6373,6373,B16,B,141995494595054260,True,KL1700,AM,AMX,794.0,2025-03-25T07:10:00.000+01:00,2025-03-25,07:10:00,J,2.0,4,EMJ,E7W,['13'],"['AM6373', 'DL9524', 'KQ1720', 'MF9352']","['ARR', 'EXP']",BRU,S,False,,,,,,,,,Brussels,Brussel,België,Europa,EMJ-E7W,Embraer-175
185,2025-03-25T09:32:39.332+01:00,2025-03-25T06:50:08.000+01:00,PHEXI,2025-03-25T06:49:11.000+01:00,2025-03-25T07:35:40.476+01:00,A,DL9524,9524,B16,B,141995495007678706,True,KL1700,DL,DAL,58.0,2025-03-25T07:10:00.000+01:00,2025-03-25,07:10:00,J,2.0,4,EMJ,E7W,['13'],"['AM6373', 'DL9524', 'KQ1720', 'MF9352']","['ARR', 'EXP']",BRU,S,False,,,,,,,,,Brussels,Brussel,België,Europa,EMJ-E7W,Embraer-175
206,2025-03-25T07:44:24.909+01:00,,PHAXA,,,D,KL1403,1403,D82,D,141995495977680769,True,KL1403,KL,KLM,100.0,2025-03-25T07:20:00.000+01:00,2025-03-25,07:20:00,J,1.0,4,32S,32Q,,"['AF5473', 'DL9206', 'GA9240', 'KQ1223', 'MK7591']",['DEP'],CDG,S,False,2025-03-25T07:31:45.000+01:00,VF1,"[{'endTime': '2025-03-25T06:40:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:30:00.000+01:00'}]",,2025-03-25T06:50:00.000+01:00,2025-03-25T07:05:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
207,2025-03-25T07:44:24.909+01:00,,PHAXA,,,D,AF5473,5473,D82,D,141995494568717439,True,KL1403,AF,AFR,80.0,2025-03-25T07:20:00.000+01:00,2025-03-25,07:20:00,J,1.0,4,32S,32Q,,"['AF5473', 'DL9206', 'GA9240', 'KQ1223', 'MK7591']",['DEP'],CDG,S,False,2025-03-25T07:31:45.000+01:00,VF1,"[{'endTime': '2025-03-25T06:40:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:30:00.000+01:00'}]",,2025-03-25T06:50:00.000+01:00,2025-03-25T07:05:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
208,2025-03-25T07:44:24.909+01:00,,PHAXA,,,D,DL9206,9206,D82,D,141995495007670349,True,KL1403,DL,DAL,58.0,2025-03-25T07:20:00.000+01:00,2025-03-25,07:20:00,J,1.0,4,32S,32Q,,"['AF5473', 'DL9206', 'GA9240', 'KQ1223', 'MK7591']",['DEP'],CDG,S,False,2025-03-25T07:31:45.000+01:00,VF1,"[{'endTime': '2025-03-25T06:40:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:30:00.000+01:00'}]",,2025-03-25T06:50:00.000+01:00,2025-03-25T07:05:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
209,2025-03-25T07:44:24.909+01:00,,PHAXA,,,D,GA9240,9240,D82,D,141995495382502833,True,KL1403,GA,GIA,85.0,2025-03-25T07:20:00.000+01:00,2025-03-25,07:20:00,J,1.0,4,32S,32Q,,"['AF5473', 'DL9206', 'GA9240', 'KQ1223', 'MK7591']",['DEP'],CDG,S,False,2025-03-25T07:31:45.000+01:00,VF1,"[{'endTime': '2025-03-25T06:40:00.000+01:00', 'rows': {'rows': [{'position': '6', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '7', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '8', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}]}}]}, 'startTime': '2025-03-25T04:30:00.000+01:00'}]",,2025-03-25T06:50:00.000+01:00,2025-03-25T07:05:00.000+01:00,2025-03-25T06:20:00.000+01:00,,Charles de Gaulle,Parijs,Frankrijk,Europa,32S-32Q,Airbus A-321neo
